trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.5, 'e': 0.1814381683336109}",20,14,12.910015997572476,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.17859324539255422}",20,12,0.6060890875901879,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.1757929304114151}",20,0,19.654301017041618,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.1730365239441527}",25,7,10.2104370756098,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.17032333751193363}",30,6,23.582954832797345,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.16765269343116845}",20,10,12.557475217056785,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.16502392464424329}",30,11,34.318949714006095,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.16243637455290644}",25,20,9.368334197309512,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.1598893968542673}",20,7,26.12653520370145,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.15738235537936635}",25,0,21.751487836058438,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.15491462393427685}",20,13,13.48397010030462,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.15248558614369778}",25,19,13.700880265652673,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.15009463529699918}",25,2,-12.856056242853795,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.14774117419668195}",20,4,-14.482785253129968,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.1454246150092128}",20,12,14.029952053968435,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.14314437911819933}",25,20,10.617506817119596,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.14089989697986616}",25,0,42.67294914950386,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.13869060798079785}",25,1,-18.492137557397662,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.1365159602979124}",25,0,12.08224287216641,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.13437541076062975}",20,12,3.7795204556832855,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.13226842471520234}",20,12,13.220425043071497,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.13019447589117206}",20,14,10.575440364219006,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.12815304626992163}",20,12,-14.474294811942903,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.12614362595528733}",30,7,27.988113920788525,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.12416571304619962}",20,8,21.081831471765316,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.1222188135113218}",25,7,29.02711369462189,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.12030244106565335}",20,0,18.518754996469802,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.1184161170490688}",30,0,-9.258067711841656,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.11655937030676089}",20,11,16.065774205477513,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.11473173707155807}",20,7,11.001505369334309,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.11293276084808783}",20,12,15.407843850196397,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.11116199229875569}",25,17,14.016201943518523,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.10941898913151242}",25,17,9.34538339453215,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.10770331598938114}",25,11,23.982162130798862,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.10601454434171614}",20,15,1.8953174606952414,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.10435225237716732}",20,6,25.496984499878533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.10271602489832243}",20,10,0.46928613398038355,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.10110545321800164}",20,2,18.671577361217327,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.09952013505717815}",30,11,19.168647580741652,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.0979596744444991}",25,14,20.310624906518008,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.09642368161738252}",25,11,13.294982107813947,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.09491177292466443}",25,20,10.475958028416676,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.09342357073077287}",25,18,14.827431878950776,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,5,27.49463771125157,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,19.883191779775974,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,20.823562231772005,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,3,34.681909333286725,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
